PD-related categories				
Database	Pathway name	Identifier	Number of genes	Target genes
Kyoto Encyclopedia of Genes and Genomes (KEGG)	Parkinson's Disease	hsa05012	22	ADCY5,COX7A2,CYCS,DRD2,GNAI2,GNAL,NDUFC2,PARK2,PRKACB,PRKX,SDHC,SLC18A1,SLC6A3,SNCA,TH,UBA1,UBE2G1,UBE2G2,UBE2J2,UBE2L3,UQCRB,UQCRQ
Kyoto Encyclopedia of Genes and Genomes (KEGG)	Dopaminergic synapse	hsa04728	57	ADCY5,AKT2,CACNA1A,CACNA1C,CALM3,CALML3,CALML5,CAMK2B,CLOCK,COMT,CREB1,CREB3L1,CREB3L2,CREB3L3,CREB5,DRD2,FOS,GNAI2,GNAL,GNAO1,GNAQ,GNAS,GNB3,GNG12,GNG2,GNG7,GRIA1,GRIA4,GRIN2A,GSK3B,ITPR1,ITPR2,ITPR3,KCNJ5,KIF5C,MAOA,MAPK10,MAPK13,MAPK8,PLCB1,PLCB4,PPP1CC,PPP2R1A,PPP2R1B,PPP2R3A,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PRKACB,PRKCA,PRKCB,PRKX,SCN1A,SLC18A1,SLC6A3,TH
WikiPathways	Dopamine metabolism	WP2436	5	COMT,MAOA,NQO1,PRKACB,TH
WikiPathways	Dopaminergic Neurogenesis	WP2855	10	CDKN1C,EN2,LMX1B,NEUROD1,NR4A2,RET,SLC6A3,STAT3,TH,WNT1
WikiPathways	Parkinsons Disease Pathway	WP2371	15	ATXN2,CASP2,CCNE2,CYCS,MAPK13,PARK2,SLC6A3,SNCA,SYT11,TH,UBA1,UBE2G1,UBE2G2,UBE2J2,UBE2L3
Gene Ontology (GO) - Biological Process	dopamine biosynthetic process(6)	GO:0042416	8	CHRNA7,DAO,GCH1,NR4A2,SLC6A3,SNCA,TGFB2,TH
Gene Ontology (GO) - Biological Process	dopamine catabolic process(6)	GO:0042420	3	COMT,MAOA,SLC6A3
Gene Ontology (GO) - Biological Process	dopamine metabolic process(5)	GO:0042417	15	CHRNA7,CHRNB2,COMT,DAO,DRD2,GCH1,GRIN2A,MAOA,NR4A2,PARK2,PDE1B,SLC6A3,SNCA,TGFB2,TH
Gene Ontology (GO) - Biological Process	dopamine receptor signaling pathway(6)	GO:0007212	13	ADCY5,ARPP19,DRD2,GNAL,GNAO1,GNAQ,GNAS,GNG2,HMP19,HTT,NSG1,OPRM1,SLC9A3R1
Gene Ontology (GO) - Biological Process	dopamine secretion(6)&regulation of dopamine secretion(7)	GO:0014046	12	CHRNA4,CHRNB2,CNR1,CXCL12,DRD2,GDNF,HTR2A,KCNA2,PARK2,SLC18A1,SNCA,SNCG
Gene Ontology (GO) - Biological Process	dopamine transport(7)	GO:0015872	16	CHRNA4,CHRNB2,CNR1,CXCL12,DRD2,GDNF,HTR2A,KCNA2,PARK2,RAB3B,SLC18A1,SLC22A3,SLC6A3,SNCA,SNCG,TOR1A
Gene Ontology (GO) - Biological Process	dopaminergic neuron differentiation(7)	GO:0071542	6	HIF1A,NR4A2,RSPO2,TSHR,VEGFA,WNT1
Reactome - Pathways	Dopamine Neurotransmitter Release Cycle	R-HSA-212676	11	APBA1,CASK,PPFIA1,RIMS1,SNAP25,STX1A,STXBP1,SYN2,SYT1,UNC13B,VAMP2
Reactome - Pathways	Pink/Parkin Mediated Mitophagy	R-HSA-5205685	6	ATG5,MFN2,PARK2,TOMM22,TOMM70A,UBA52
